repo,file,line,comment
public-apis/public-apis,__init__.py,1,# -*- coding: utf-8 -*-
public-apis/public-apis,format.py,1,# -*- coding: utf-8 -*-
public-apis/public-apis,format.py,8,# Temporary replacement
public-apis/public-apis,format.py,9,# The descriptions that contain () at the end must adapt to the new policy later
public-apis/public-apis,format.py,31,# Type aliases
public-apis/public-apis,format.py,93,"    # url should be wrapped in ""[TITLE](LINK)"" Markdown syntax"
public-apis/public-apis,format.py,98,"        # do not allow ""... API"" in the entry title"
public-apis/public-apis,format.py,210,        # check each category for the minimum number of entries
public-apis/public-apis,format.py,230,        # skips lines that we do not care about
public-apis/public-apis,format.py,242,            # every line segment should start and end with exactly 1 space
public-apis/public-apis,links.py,1,# -*- coding: utf-8 -*-
public-apis/public-apis,links.py,13,"    """"""Find links in a text and return a list of URLs."""""""
public-apis/public-apis,links.py,27,"    """"""Find links in a file and return a list of URLs from text file."""""""
public-apis/public-apis,links.py,42,"    """"""Check for duplicated links."
public-apis/public-apis,links.py,44,    Returns a tuple with True or False and duplicate list.
public-apis/public-apis,links.py,45,"    """""""
public-apis/public-apis,links.py,66,"    """"""Faking user agent as some hosting services block not-whitelisted UA."""""""
public-apis/public-apis,links.py,82,"    # Remove routes, arguments and anchors"
public-apis/public-apis,links.py,96,"    """"""Checks if there is any cloudflare protection in the response."
public-apis/public-apis,links.py,98,"    Cloudflare implements multiple network protections on a given link,"
public-apis/public-apis,links.py,99,    this script tries to detect if any of them exist in the response from request.
public-apis/public-apis,links.py,101,    Common protections have the following HTTP code as a response:
public-apis/public-apis,links.py,102,        - 403: When host header is missing or incorrect (and more)
public-apis/public-apis,links.py,103,        - 503: When DDOS protection exists
public-apis/public-apis,links.py,105,    See more about it at:
public-apis/public-apis,links.py,106,        - https://support.cloudflare.com/hc/en-us/articles/115003014512-4xx-Client-Error
public-apis/public-apis,links.py,107,        - https://support.cloudflare.com/hc/en-us/articles/115003011431-Troubleshooting-Cloudflare-5XX-errors
public-apis/public-apis,links.py,108,        - https://www.cloudflare.com/ddos/
public-apis/public-apis,links.py,109,        - https://superuser.com/a/888526
public-apis/public-apis,links.py,111,    Discussions in issues and pull requests:
public-apis/public-apis,links.py,112,        - https://github.com/public-apis/public-apis/pull/2409
public-apis/public-apis,links.py,113,        - https://github.com/public-apis/public-apis/issues/2960
public-apis/public-apis,links.py,114,"    """""""
public-apis/public-apis,links.py,153,"    """"""Checks if a link is working."
public-apis/public-apis,links.py,155,"    If an error is identified when the request for the link occurs,"
public-apis/public-apis,links.py,156,    the return will be a tuple with the first value True and the second
public-apis/public-apis,links.py,157,    value a string containing the error message.
public-apis/public-apis,links.py,159,"    If no errors are identified, the return will be a tuple with the"
public-apis/public-apis,links.py,160,    first value False and the second an empty string.
public-apis/public-apis,links.py,161,"    """""""
vinta/awesome-python,sort.py,1,#!/usr/bin/env python
vinta/awesome-python,sort.py,2,# coding: utf-8
vinta/awesome-python,sort.py,4,""""""""
vinta/awesome-python,sort.py,5,    The approach taken is explained below. I decided to do it simply.
vinta/awesome-python,sort.py,6,    Initially I was considering parsing the data into some sort of
vinta/awesome-python,sort.py,7,    structure and then generating an appropriate README. I am still
vinta/awesome-python,sort.py,8,    considering doing it - but for now this should work. The only issue
vinta/awesome-python,sort.py,9,"    I see is that it only sorts the entries at the lowest level, and that"
vinta/awesome-python,sort.py,10,    the order of the top-level contents do not match the order of the actual
vinta/awesome-python,sort.py,11,    entries.
vinta/awesome-python,sort.py,13,"    This could be extended by having nested blocks, sorting them recursively"
vinta/awesome-python,sort.py,14,    and flattening the end structure into a list of lines. Revision 2 maybe ^.^.
vinta/awesome-python,sort.py,15,""""""""
vinta/awesome-python,sort.py,18,"    # First, we load the current README into memory"
vinta/awesome-python,sort.py,22,    # Separating the 'table of contents' from the contents (blocks)
vinta/awesome-python,sort.py,31,    # Sorting the libraries
vinta/awesome-python,sort.py,38,    # Replacing the non-sorted libraries by the sorted ones and gathering all at the final_README file
vinta/awesome-python,sort.py,46,"    # First, we load the current README into memory as an array of lines"
vinta/awesome-python,sort.py,50,    # Then we cluster the lines together as blocks
vinta/awesome-python,sort.py,51,    # Each block represents a collection of lines that should be sorted
vinta/awesome-python,sort.py,52,    # This was done by assuming only links ([...](...)) are meant to be sorted
vinta/awesome-python,sort.py,53,    # Clustering is done by indentation
vinta/awesome-python,sort.py,71,        # Then all of the blocks are sorted individually
vinta/awesome-python,sort.py,75,        # And the result is written back to README.md
vinta/awesome-python,sort.py,78,    # Then we call the sorting method
TheAlgorithms/Python,butterworth_filter.py,5,""""""""
TheAlgorithms/Python,butterworth_filter.py,6,Create 2nd-order IIR filters with Butterworth design.
TheAlgorithms/Python,butterworth_filter.py,8,Code based on https://webaudio.github.io/Audio-EQ-Cookbook/audio-eq-cookbook.html
TheAlgorithms/Python,butterworth_filter.py,9,"Alternatively you can use scipy.signal.butter, which should yield the same results."
TheAlgorithms/Python,butterworth_filter.py,10,""""""""
TheAlgorithms/Python,butterworth_filter.py,18,"    """""""
TheAlgorithms/Python,butterworth_filter.py,19,    Creates a low-pass filter
TheAlgorithms/Python,butterworth_filter.py,21,"    >>> filter = make_lowpass(1000, 48000)"
TheAlgorithms/Python,butterworth_filter.py,22,    >>> filter.a_coeffs + filter.b_coeffs  # doctest: +NORMALIZE_WHITESPACE
